,Flow,Period,Region,value
0,Net,01/06/2012,All Nationalities,162000
1,Net,01/09/2012,All Nationalities,157000
2,Net,01/12/2012,All Nationalities,195000
3,Net,01/03/2013,All Nationalities,204000
4,Net,01/06/2013,All Nationalities,215000
5,Net,01/09/2013,All Nationalities,259000
6,Net,01/12/2013,All Nationalities,244000
7,Net,01/03/2014,All Nationalities,256000
8,Net,01/06/2014,All Nationalities,248000
9,Net,01/09/2014,All Nationalities,264000
10,Net,01/12/2014,All Nationalities,284000
11,Net,01/03/2015,All Nationalities,296000
12,Net,01/06/2015,All Nationalities,296000
13,Net,01/09/2015,All Nationalities,293000
14,Net,01/12/2015,All Nationalities,303000
15,Net,01/03/2016,All Nationalities,298000
16,Net,01/06/2016,All Nationalities,321000
17,Net,01/09/2016,All Nationalities,290000
18,Net,01/12/2016,All Nationalities,249000
19,Net,01/03/2017,All Nationalities,240000
20,Net,01/06/2017,All Nationalities,200000
21,Net,01/09/2017,All Nationalities,205000
22,Net,01/12/2017,All Nationalities,208000
23,Net,01/03/2018,All Nationalities,193000
24,Net,01/06/2018,All Nationalities,216000
25,Net,01/09/2018,All Nationalities,226000
26,Net,01/12/2018,All Nationalities,276000
27,Net,01/03/2019,All Nationalities,274000
28,Net,01/06/2019,All Nationalities,224000
29,Net,01/09/2019,All Nationalities,202000
30,Net,01/12/2019,All Nationalities,184000
31,Net,01/03/2020,All Nationalities,170000
32,Net,01/06/2020,All Nationalities,111000
33,Net,01/09/2020,All Nationalities,35000
34,Net,01/12/2020,All Nationalities,93000
35,Net,01/03/2021,All Nationalities,132000
36,Net,01/06/2021,All Nationalities,221000
37,Net,01/09/2021,All Nationalities,443000
38,Net,01/12/2021,All Nationalities,466000
39,Net,01/03/2022,All Nationalities,526000
40,Net,01/06/2022,All Nationalities,607000
41,Net,01/09/2022,All Nationalities,718000
42,Net,01/12/2022,All Nationalities,764000
43,Net,01/03/2023,All Nationalities,750000
44,Net,01/06/2023,All Nationalities,740000
45,Net,01/09/2023,All Nationalities,724000
46,Net,01/12/2023,All Nationalities,685000
47,Net,01/06/2012,British,-83000
48,Net,01/09/2012,British,-80000
